Наименование транзистора|Структура|Pк max, Pк* т max, Pк** и max, мВт|fгр, f* h21б, f** h21э, f*** max,МГц|UКБО max, U* КЭR max, U** КЭО max, В|UЭБО max, В|IК max, I* К,и max, мА|IКБО, I* КЭR, I** КЭО, мкА|h21э, h21Э*|Cк, C12э*, пФ|rКЭ нас, ОмrБЭ* нас, ОмKу,р*, дБ|Kш, дБrб*, ОмPвых*, Вт|tau к, псtрас*, нсtвыкл**, нс
КТ104А|p-n-p|150 (60°C)|>=5*|30**|10|50|<=1 (30 B)|9...36 (5 В; 1 мА)|<=50 (5 В)|<=50|<=120*|-
КТ104Б|p-n-p|150 (60°C)|>=5*|15**|10|50|<=1 (15 B)|20...80 (5 В; 1 мА)|<=50 (5 В)|<=50|<=120*|-
КТ104В|p-n-p|150 (60°C)|>=5*|15**|10|50|<=1 (15 B)|40...160 (5 В; 1 мА)|<=50 (5 В)|<=50|<=120*|-
КТ104Г|p-n-p|150 (60°C)|>=5*|30**|10|50|<=1 (30 B)|15...60 (5 В; 1 мА)|<=50 (5 В)|<=50|<=120*|-
КТ117А|n-база|300|0,2***|30|30|50 (1* A)|<=1 (30 В)|0,5...0,7 (UБ1Б2=10 В)|-|-|-|-
КТ117Б|n-база|300|0,2***|30|30|50 (1* A)|<=1 (30 B)|0,65...0,9 (UБ1Б2=10 В)|-|-|-|-
КТ117В|n-база|300|0,2***|30|30|50 (1* A)|<=1 (30 B)|0,5...0,7 (UБ1Б2=10 В)|-|-|-|-
КТ117Г|n-база|300|0,2***|30|30|50 (1* A)|<=1 (30 B)|0,65...0,9 (UБ1Б2=10 В)|-|-|-|-
КТ118А|p-n-p|100 (100°C)|-|15|31|50|<=0,1 (15 B)|-|-|100||<=500**
КТ118Б|p-n-p|100 (100°C)|-|15|31|50|<=0,1 (15 B)|-|-|100||<=500**
КТ118В|p-n-p|100 (100°C)|-|15|31|50|<=0,1 (15 B)|-|-|120|—|<=500**
КТ119А|n-база|25|0,2***|20|20|10 (50*)|-|0,5...0,65 (UБ1Б2 =10 В)|-|-|-|-
КТ119Б|n-база|25|0,2***|20|20|10 (50*)|-|0,6...0,75 (UБ1Б2 =10 В)|-|-|-|-
КТ120А|p-n-p|10|>=1|60|10|10 (20*)|<=0,5 (60 В|20...200 (5 В; 1 мА)|<=5 (5 В)|<=50|-|-
КТ120Б|p-n-p|10|>=1|30|10|10 (20*)|<=0,5 (30 B)|20...200 (5 В; 1 мА)|<=5 (5 В)|-|-|-
КТ120В|p-n-p|10|>=1|60|10|10 (20*)|<=0,5 (60 B)|20...200 (5 В; 1 мА)|<=5 (5 В)|<=110|-|-
КТ120А-1|p-n-p|10|-|60|10|10|<=0,5 (60 B)|20...200 (5 В; 1 мА)|<=5 (5 В)|<=50|-|-
КТ120В-1|p-n-p|10|-|60|10|10|-|20...200 (5 В; 1 мА)|<=5 (5 В)|<=110|-|-
КТ120А-5|p-n-p|10|-|60|10|10|-|20...200 (5 В; 1 мА)|<=5 (5 В)|<=50|-|-
КТ120В-5|p-n-p|20|-|60|10|10|-|20...200 (5 В; 1 мА)|<=5 (5 В)|<=110|-|-
КТ127А-1|n-p-n|15 (60°C)|>=0,1**|25|3|50|<=1 (25 B)|15...60 (5 В; 1 мА)|<=5 (5 В)|<=170|-|-
КТ127Б-1|n-p-n|15 (60°C)|>=0,1**|25|3|50|<=1 (25 B)|40...200 (5 В; 1 мА)|<=5 (5 В)|<=170|-|-
КТ127В-1|n-p-n|15 (60°C)|>=0,1**|45|3|50|<=1 (25 B)|15...60 (5 В; 1 мА)|<=5 (5 В)|<=170|-|-
КТ127Г-1|n-p-n|15 (60°C)|>=0,1**|45|3|50|<=1 (25 B)|40...200 (5 В; 1 мА)|<=5 (5 В)|<=170|-|-
КТ132А|однопер.|300|-|-|35|2* A|12|0,56...0,75|-|3,5|-|-
КТ132Б|однопер.|300|-|-|35|2* A|0,2|0,68...0,82|-|3,5|-|-
КТ133А|однопер.|300|-|-|35|1,5* A|1|0,56...0,75|-|2,5|-|-
КТ133Б|однопер.|300|-|-|35|1,5* A|1|0,7...0,85|-|2,5|-|-
КТ201А|n-p-n|150 (90°C)|>=10|20|20|20 (100*)|<=1 (20 B)|20...60 (1 В; 5 мА)|<=20 (5 В)|-|-|-
КТ201Б|n-p-n|150|>=10|20|20|20 (100*)|<=1 (20 B)|30...90 (1 В; 5 мА)|<=20 (5 В)|-|-|-
КТ201В|n-p-n|150|>=10|10|10|20 (100*)|<=1 (20 B)|30...90 (1 В; 5 мА)|<=20 (5 В)|-|-|-
КТ201Г|n-p-n|150|>=10|10|10|20 (100*)|<=1 (20 B)|70...210 (1 В; 5 мА)|<=20 (5 В)|-|-|-
КТ201Д|n-p-n|150|>=10|10|10|20 (100*)|<=1 (20 B)|30...90(1 В; 5 мА)|<=20 (5 В)|-|<=15 (1 кГц)|-
КТ201АМ|n-p-n|150|>=10|20|20|20 (100*)|<=1 (20 B)|20.. 60 (1 В; 5 мА)|<=20 (5 В)|-|-|-
КТ201БМ|n-p-n|150|>=10|20|20|20 (100*)|<=1 (20 B)|30...90 (1 В; 5 мА)|<=20 (5 В)|-|-|-
КТ201ВМ|n-p-n|150|>=10|10|10|20 (100*)|<=1 (20 B)|30...90 (1 В; 5 мА)|<=20 (5 В)|-|-|-
КТ201ГМ|n-p-n|150|>=10|10|10|20 (100*)|<=1 (20 B)|70...210 (1 В; 5 мА)|<=20 (5 В)|-|-|-
КТ201ДМ|n-p-n|150|>=10|10|10|20 (100*)|<=1 (20 B)|30...90 (1 В; 5 мА)|<=20 (5 В)|-|<=15 (1 кГц)|-
КТ202А-1|p-n-p|15 (55°C)|>=5|15|10|10 (25*)|<=1 (15 B)|15...70 (5 В; 1 мА)|<=25 (5 В)|<=50|-|<=1000*
КТ202Б-1|p-n-p|15 (55°C)|>=5|15|10|10 (25*)|<=1 (15 B)|40...160 (5 В; 1 мА)|<=25 (5 В)|<=50|-|<=1000*
КТ202В-1|p-n-p|15 (55°C)|>=5|30|10|10 (25*)|<=1 (30 B)|15...70 (5 В; 1 мА)|<=25 (5 В)|<=50|-|<=1000*
КТ202Г-1|p-n-p|15 (55°C)|>=5|30|10|10 (25*)|<=1 (30 B)|40...160 (5 В; 1 мА)|<=25 (5 В)|<=50|-|<=1000*
КТ202Д-1|p-n-p|15 (55°C)|>=5|15|10|10 (25*)|<=1 (15 B)|100...300 (5 В; 1 мА)|<=25 (5 В)|<=50|-|<=1000*
КТ203А|p-n-p|150 (75°C)|>=5*|60|30|10 (50*)|<=1 (60 B)|>=9 (5 В; 1 мА)|<=10 (5 В)|-|<=300*|-
КТ203Б|p-n-p|150 (75°C)|>=5*|30|15|10 (50*)|<=1 (30 B)|30...150 (5 В, 1 мА)|<=10 (5 В)|<=50|<=300*|-
КТ203В|p-n-p|150 (75°C)|>=5*|15|10|10 (50*)|<=1 (15 B)|30...200 (5 В; 1 мА)|<=10 (5 В)|<=25|<=300*|-
КТ203АМ|p-n-p|150 (75°C)|>=5*|60|30|10 (50*)|<=1 (60 B)|>=9 (5 В; 1 мА)|<=10 (5 В)|-|<=300*|-
КТ203БМ|p-n-p|150 (75°C)|>=5*|30|15|10 (50*)|<=1 (30 B)|30...150 (5 В; 1 мА)|<=10 (5 В)|<=50|<=300*|-
КТ203ВМ|p-n-p|150 (75°C)|>=5*|15|10|10 (50*)|<=1 (15 B)|30...200 (5 В; 1 мА)|<=10 (5 В)|<=25|<=300*|-
КТ206А|n-p-n|15|>=10|20* (3к)|20|20|<=1 (20 B)|30...90* (1 В; 5 мА)|<=20 (5 В)|-|-|-
КТ206Б|n-p-n|15|>=10|12* (3к)|12|20|<=1 (12 B)|70...120* (1 В; 5 мА)|<=20 (5 В)|-|-|-
КТ207А|p-n-p|15|>=5|60|30|10 (50*)|<=0,05 (60 B)|>=9 (5 В; 1 мА)|<=10 (5 В)|<=100|<=300*|-
КТ207Б|p-n-p|15|>=5|30|15|10 (50*)|<=0,05 (30 B)|30...150 (5 В; 1 мА)|<=10 (5 В)|<=100|<=300*|-
КТ207В|p-n-p|15|>=5|15|10|10 (50*)|<=0,05 (15 B)|30...200 (5 В; 1 мА)|<=10 (5 В)|<=50|<=300*|-
КТ208А|p-n-p|200 (60°C)|>=5|20* (10к)|10|300 (500*)|<=1 (20 B)|20...60* (1 В; 30мА)|<=50 (10 В)|<=1,3|-|-
КТ208Б|p-n-p|200 (60°C)|>=5|20|10|300 (500*)|<=1 (20 B)|40...120* (1 В; 30 мА)|<=50 (10 В)|<=1,3|-|-
КТ208В|p-n-p|200 (60°C)|>=5|20|10|300 (500*)|<=1 (20 B)|80...240* (1 В; 30 мА)|<=50 (10 В)|<=1,3|<=4 (1 кГц)|-
КТ208Г|p-n-p|200 (60°C)|>=5|30|10|300 (500*)|<=1 (20 B)|20...60* (1 В; 30 мА)|<=50 (10 В)|<=1,3|-|-
КТ208Д|p-n-p|200 (60°C)|>=5|30* (10к)|10|300 (500*)|<=1 (20 B)|40...120* (1 В; 30 мА)|<=50 (10 В)|<=1,3|-|-
КТ208Е|p-n-p|200 (60°C)|>=5|30|10|300 (500*)|<=1 (20 B)|80...240* (1 В; 30 мА)|<=50 (10 В)|<=1,3|<=4 (1 кГц)|-
КТ208Ж|p-n-p|200 (60°C)|>=5|45|20|300 (500*)|<=1 (20 B)|20...60* (1 В; 30 мА)|<=50 (10 В)|<=1,3|-|-
КТ208И|p-n-p|200 (60°C)|>=5|45|20|300 (500*)|<=1 (20 B)|40...120* (1 В; 30 мА)|<=50 (10 В)|<=1,3|-|-
КТ208К|p-n-p|200 (60°C)|>=5|45|20|300 (500*)|<=1 (20 В)|80...240* (1 В; 30 мА)|<=50 (10 В)|<=1,3|<=4 (1 кГц)|-
КТ208Л|p-n-p|200 (60°C)|>=5|60|20|300 (500*)|<=1 (20 В)|20...60* (1 В; 30 мА)|<=50 (10 В)|<=1,3|-|-
КТ208М|p-n-p|200 (60°C)|>=5|60|20|300 (500*)|<1 (20 В|40... 120* (1 В; 30 мА)|<=50 (10 В)|<=1,3|-|-
КТ209А|p-n-p|200 (35°C)|>=5|15|10|300 (500*)|<=1* (15 В)|20...60* (1 В; 30 мА)|<=50 (10 В)|<=1,3|-|-
КТ209Б|p-n-p|200 (35°C)|>=5|15|10|300 (500*)|<=1* (15 В)|40...120* (1 В; 30 мА)|<=50 (10 В)|<=1,3|-|-
КТ209В|p-n-p|200 (35°C)|>=5|15|10|300 (500*)|<=1* (15 В)|80...240* (1 В; 30 мА)|<=50(10 В)|<=1,3|<=5 (1 кГц)|-
КТ209В2|p-n-p|200 (35°C)|>=5|15|10|300 (500*)|<=1* (15 В)|>=200* (1 В; 30 мА)|<=50 (10 В)|<=1,3|<=5 (1 кГц)|-
КТ209Г|p-n-p|200 (35°C)|>=5|30|10|300 (500*)|<1* (30 В|20...60* (1 В; 30 мА)|<=50 (10 В)|<=1,3|-|-
КТ209Д|p-n-p|200 (35°C)|>=5|30|10|300 (500*)|<1* (30 В|40...120* (1 В; 30 мА)|<=50 (10 В)|<=1,3|-|-
КТ209Е|p-n-p|200 (35°C)|>=5|30|10|300 (500*)|<1* (3|80...240* (1 В; 30 мА)|<=50 (10 В)|<=1,3|<=5 (1 кГц)|-
КТ209Ж|p-n-p|200 (35°C)|>=5|45|20|300 (500*)|<=1* (45 В)|20...60* (1 В; 30 мА)|<=50 (10 В)|<=1,3|-|-
КТ209И|p-n-p|200 (35°C)|>=5|45|20|300 (500*)|<=1* (45 В)|40...120* (1 В; 30 мА)|<=50 (10 В)|<=1,3|-|-
КТ209К|p-n-p|200 (35°C)|>=5|45|20|300 (500*)|<1* (4|80...160* (1 В; 30 мА)|<=50 (10 В)|<=1,3|<=5 (1 кГц)|-
КТ209Л|p-n-p|200 (35°C)|>=5|60|20|300 (500*)|<=1* (60 В)|20...60* (1 В; 30 мА)|<=50 (10 В)|<=1,3|-|-
КТ209М|p-n-p|200 (35°C)|>=5|60|20|300 (500*)|<=1* (60 В)|40...120* (1 В; 30 мА)|<=50 (10 В)|<=1,3|-|-
КТ210А|p-n-p|25|>=10|15|10|20 (40*)|<=10 (15 В)|80...240 (5 В; 1 мА)|<=25 (5 В)|<=50|-|-
КТ210Б|p-n-p|25|>=10|30|10|20 (40*)|<=10 (30 В)|80...240 (5 В; 1 мА)|<=25 (5 В)|<=50|-|-
КТ210В|p-n-p|25|>=10|60|10|20 (40*)|<=10 (60 В)|40...120 (5 В; 1 мА)|<=25 (5 В)|<=50|-|-
КТ211А-1|p-n-p|25|>=10|15|5|20 (50*)|<=10 (15 B)|40...120 (1 В; 40 мА)|<=20 (5 В)|-|<=3 (1 кГц)|-
КТ211Б-1|р-n-р|25|>=10|15|5|20 (50*)|<=10 (15 В)|80...240 (1 В; 40 мА)|<=20 (5 В)|-|<=3 (1 кГц)|-
КТ211В-1|p-n-p|25|>=10|15|5|20 (50*)|<=10 (15 В)|160...480 (1 В; 40 мА)|<=20 (5 В)|-|<=3 (1 кГц)|-
КТ214А-1|p-n-p|50|>=5|80**|30|50 (100*)|<=1 (30 В)|>=20 (5 В; 10 мА)|<=50 (10 В)|<=60|>=1200*|-
КТ214Б-1|p-n-p|50|>=5|80**|7|50 (100*)|<=1 (30 В)|30...90 (5 В; 10 мА)|<=50 (10 В)|<=60|>=1200*|-
КТ214В-1|p-n-p|50|>=5|60**|7|50 (100*)|<=1 (30 В)|40...120 (5 В; 10 мА)|<=50 (10 В)|<=60|>=1200*|-
КТ214Г-1|p-n-p|50|>=5|40**|7|50 (100*)|<=1 (30 В)|40...120 (5 В; 10 мА)|<=50 (10 В)|<=60|>=1200*|-
КТ214Д-1|p-n-p|50|>=5|30**|7|50 (100*)|<=1 (30 В)|>=80 (1 В; 40 мкА)|<=50 (10 В)|<=60|>=1200*|-
КТ214Е-1|p-n-p|50|>=5|20**|20|50 (100*)|<=1 (30 В)|>=40 (1 В; 40 мкА)|<=50 (10 В)|<=60|>=1200*|-
КТ215А-1|n-p-n|50|>=5|80**|5|50 (100*)|<=100* (30 В)|>=20 (5 В; 10 мА)|<=50 (10 В)|<=60|>=1200*|-
КТ215Б-1|n-p-n|50|>=5|80**|5|50 (100*)|<=100* (30 В)|30...90 (5 В; 10 мА)|<=50 (10 В)|<=60|>=1200*|-
КТ215В-1|n-p-n|50|>=5|60**|5|50 (100*)|<=100* (30 В)|40...120 (5 В; 10 мА)|<=50 (10 В)|<=60|>=1200*|-
КТ215Г-1|n-p-n|50|>=5|40**|5|50 (100*)|<=100* (30 В)|40...120 (5 В; 10 мА)|<=50 (10 В)|<=60|>=1200*|-
КТ215Д-1|n-p-n|50|>=5|30**|5|50 (100*)|<=100* (30 В)|>=80 (1 В; 40 мА)|<=50 (10 В)|<=60|>=1200*|-
КТ215Е-1|n-p-n|50|>=5|20**|5|50 (100*)|<=100* (30 В)|>=40 (1 В; 40 мкА)|<=50 (10 В)|<=60|>=1200*|-
КТ216А|p-n-p|75|>=5|60|30|10|<=0,05|>=9 (5 В; 1 мА)|<=10|-|-|-
КТ216Б|p-n-p|75|>=5|30|15|10|<=0,05|30... 150 (5 В; 1 мА)|<=10|-|-|-
КТ216В|p-n-p|75|>=5|30|10|10|<=1|30...200 (5 В; 1 мА)|<=10|-|-|-
КТ218А-9|p-n-p|200|>=5|80|30|50|<=1|>=20 (5 В; 10 мА)|<=15|-|-|-
КТ218Б-9|p-n-p|200|>=5|80|7|50|<=1|>=30 (5 В; 10 мА)|<=15|-|-|-
КТ218В-9|p-n-p|200|>=5|60|7|50|<=1|40...120 (5 В; 10 мА)|<=15|-|-|-
КТ218Г-9|p-n-p|200|>=5|40|7|50|<=1|>=40 (5 В; 10 мА)|<=15|-|-|-
КТ218Д-9|p-n-p|200|>=5|30|7|50|<=1|>=80 (1 В; 40 мкА)|<=15|-|-|-
КТ218Е-9|p-n-p|200|>=5|20|20|50|<=1|>=40 (1 В; 40 мкА)|<=15|-|-|-
КТ301|n-p-n|150 (60°C)|>=20|20|3|10 (20*)|<=10|20...60 (10 В; 3 мА)|<=10 (10 В)|<=300|-|-
КТ301А|n-p-n|150 (60°C)|>=20|20|3|10 (20*)|<=10|40...120 (10 В; 3 мА)|<=10 (10 В)|<=300|-|-
КТ301Б|n-p-n|150 (60°C)|>=20|30|3|10 (20*)|<=10|10...32 (10 В; 3 мА)|<=10 (10 В)|<=300|-|-
КТ301В|n-p-n|150 (60°C)|>=20|30|3|10 (20*)|<=10|20...60 (10 В; 3 мА)|<=10 (10 В)|<=300|-|-
КТ301Г|n-p-n|150 (60°C)|>=30|30|3|10|<=10 (20 В)|10...32 (10 В; 3 мА)|<=10 (10 В)|<=300|-|<=2000
КТ301Д|n-p-n|150 (60°C)|>=30|30|3|10|<=10 (20 В)|20...60 (10 В; 3 мА)|<=10 (10 В)|<=300|-|<=2000
КТ301Е|n-p-n|150 (60°C)|>=30|30|3|10|<=10 (30 В)|40...120 (10 В; 3 мА)|<=10 (10 В)|<=300|-|<=2000
КТ301Ж|n-p-n|150 (60°C)|>=30|20|3|10|<=10 (20 В)|80...300 (10 В; 3 мА)|<=10 (10 В)|<=300|-|<=2000
КТ302А|n-p-n|100 (50°C)|-|15|4|10|<=1 (15 В)|110...250 (1 В; 0,11 мА)|-|-|<=7 (1 кГц)|-
КТ302Б|n-p-n|100 (50°C)|-|15|4|10|<=1 (15 В)|90...150 (3 В; 2 мА)|-|-|<=7 (1 кГц)|-
КТ302В|n-p-n|100 (50°C)|-|15|4|10|<=1 (15 В)|110...250 (1,5 В; 0,5 мА)|-|-|<=7 (1 кГц)|-
КТ302Г|n-p-n|100 (50°C)|-|15|4|10|<=1 (15 В)|200...800 (3,5 В; 5 мА)|-|-|<=7 (1 кГц)|-
КТ306А|n-p-n|150 (90°C)|>=300|15|4|30 (50*)|<=0,5 (15 B)|20...60* (1 В; 10мА)|<=5 (5 В)|<=30|-|<=30*
КТ306Б|n-p-n|150 (90°C)|>=500|15|4|30 (50*)|<=0,5 (15 B)|40...120* (1 В; 10мА)|<=5 (5 В)|<=30|-|<=30*
КТ306В|n-p-n|150 (90°C)|>=300|15|4|30 (50*)|<=0,5 (15 В)|20...100* (1 В; 10мА)|<=5 (5 В)|-|<=30*|<=500
КТ306Г|n-p-n|150 (90°C)|>=500|15|4|30 (50*)|<=0,5 (15 В)|40...200* (1 В; 10мА)|<=5 (5 В)|-|<=30*|<=500
КТ306Д|n-p-n|150 (90°C)|>=200|15|4|30 (50*)|<=0,5 (15 В)|30... 150* (1 В; 10мА)|<=5 (5 В)|-|<=30*|<=300
КТ306АМ|n-p-n|150 (90°C)|>=300|15|4|30 (50*)|<=0,5 (15 В)|20...60* (1 В; 10мА)|<=5 (5 В)|<=30|-|<=30*
КТ306БМ|n-p-n|150 (90°C)|>=500|15|4|30 (50*)|<=0,5 (15 В)|40...120* (1 В; 10мА)|<=5 (5 В)|<=30|-|<=30*
КТ306ВМ|n-p-n|150 (90°C)|>=300|15|4|30 (50*)|<=0,5 (15 В)|20...100* (1 В; 10мА)|<=5 (5 В)|-|<=30*|<=500
КТ306ГМ|n-p-n|150 (90°C)|>=500|15|4|30 (50*)|<=0,5 (15 В)|40...200* (1 В; 10мА)|<=5 (5 В)|-|<=30*|<=500
КТ306ДМ|n-p-n|150 (90°C)|>=200|15|4|30 (50*)|<=0,5 (15 В)|30...150* (1 В; 10мА)|<=5 (5 В)|-|<=30*|<=300
П307|n-p-n|250|>=20|80*|3|30 (120*)|<=20 (80 B)|16...50* (20 В; 10 мА)|-|<=150|-|-
П307А|n-p-n|250|>=20|80*|3|30 (120*)|<=20 (80 B)|30...90* (20 В; 10 мА)|-|<=200|-|-
П307Б|n-p-n|250|>=20|80*|3|15 (120*)|<=20 (80 B)|50...150* (20 В; 10 мА)|-|<=330|-|-
П307В|n-p-n|250|>=20|60*|3|30 (120*)|<=20 (60 B)|50...150* (20 В; 10 мА)|-|<=250|-|-
П307Г|n-p-n|250|>=20|80*|3|15 (120*)|<=20 (80 B)|15...50* (20 В; 10 мА)|-|<=250|-|-
КТ307А-1|n-p-n|15|>=250|10* (3к)|4|20 (50*)|<=0,5 (10 B)|>=20 (1 В; 10 мА)|<=6 (1 В)|<=20|-|<=30*
КТ307Б-1|n-p-n|15|>=250|10* (3к)|4|20 (50*)|<=0,5 (10 B)|>=40 (1 В; 10 мА)|<=6 (1 В)|<=20|-|<=30*
КТ307В-1|n-p-n|15|>=250|10* (3к)|4|20 (50*)|<=0,5 (10 B)|>=40 (1 В; 10 мА)|<=6 (1 В)|<=20|-|<=30*
КТ307Г-1|n-p-n|15|>=250|10* (3к)|4|20 (50*)|<=0,5 (10 B)|>=80 (1 В; 10 мА)|<=6 (1 В)|<=20|-|<=30*
П308|n-p-n|250|>=20|120*|3|30 (120*)|<=20 (120 B)|30...90* (20 В; 10 мА)|-|<=330|-|-
П309|n-p-n|250|>=20|120*|3|30 (120*)|<=20 (120 B)|16...50* (20 В; 10мА)|-|<=200|-|-
КТ3101А-2|n-p-n|100 (45°C)|>=4000|15|2,5|20 (40*)|<=0,5 (15 B)|35...300 (1 В; 5 мА)|<=1,5 (5 В)|-|<=4,5 (2,25 ГГц)|<=10
КТ3101АМ|n-p-n|100|>=4000|15|2,5|20|<=0,5 (15 B)|35...300 (1 В; 5 мА)|<=1,5 (5 В)|>=8** (1 ГГц)|<=4,5 (1 ГГц)|<=10
КТ3102А|n-p-n|250|>=150|50|5|100 (200*)|<=0,05 (50 В)|100...200 (5 В; 2 мА)|<=б (5 В)|-|<=10 (1 кГц)|<=100
КТ3102Б|n-p-n|250|>=150|50|5|100 (200*)|<=0,05 (50 В)|200...500 (5 В; 1 мА)|<=б (5 В)|-|<=10 (1 кГц)|<=100
КТ3102В|n-p-n|250|>=150|50|5|100 (200*)|<=0,015 (30 В)|200...500 (5 В; 2 мА)|<=6 (5 В)|-|<=10 (1 кГц)|<=100
КТ3102Г|n-p-n|250|>=300|20|5|100 (200*)|<=0,015 (20 В)|400...1000 (5 В; 2 мА)|<=б (5 В)|-|<=10 (1 кГц)|<=100
КТ3102Д|n-p-n|250|>=150|30|5|100 (200*)|<=0,015 (30 В)|200...500 (5 В; 2 мА)|<=б (5 В)|-|<=4 (1 кГц)|<=100
КТ3102Е|n-p-n|250|>=300|20|5|100 (200*)|<=0,015 (20 В)|400..1000 (5 В; 2 мА)|<=6 (5 В)|-|<=4 (1 кГц)|<=100
КТ3102Ж|n-p-n|250|>=200|50|5|100 (200*)|<=0,05 (50 В)|100...250 (5 В; 2 мА)|<=6 (5 В)|-|-|<=100
КТ3102И|n-p-n|250|>=200|50|5|100 (200*)|<=0,05 (50 В)|200...500 (5 В; 2 мА)|<=6 (5 В)|-|-|<=100
КТ3102К|n-p-n|250|>=200|30|5|100 (200*)|<=0,015 (30 В)|200...500 (5 В; 2мА)|<=6 (5В)|-|-|<=100
КТ3102АМ|n-p-n|250|>=150|50|5|100 (200*)|<=0,05 (50 В)|100...200 (5 В; 2 мА)|<=6 (5В)|-|<=10 (1 кГц)|<=100
КТ3102БМ|n-p-n|250|>=150|50|5|100 (200*)|<=0,05 (50 В)|200...500 (5 В; 2мА)|<=6 (5В)|-|<=10 (1 кГц)|<=100
КТ3102ВМ|n-p-n|250|>=150|30|5|100 (200*)|<=0,015 (30 В)|200...500 (5 В; 2мА)|<=б (5В)|-|<=10 (1 кГц)|<=100
КТ3102ГМ|n-p-n|250|>=300|20|5|100 (200*)|<=0,015 (30 В)|400... 1000 (5 В; 2 мА)|<=б (5В)|-|<=10 (1 кГц)|<=100
КТ3102ДМ|n-p-n|250|>=150|50|5|100 (200*)|<=0,015 (30 В)|200...500 ( 5 В; 2мА)|<=б (5В)|-|<=4 (1 кГц)|<=100
КТ3102ЕМ|n-p-n|250|>=300|20|5|100 (200*)|<=0,015 (30 В)|400...1000 (5 В; 2 мА)|<=6 (5В)|-|<=4 (1 кГц)|<=100
КТ3102ЖМ|n-p-n|250|>=200|50|5|100 (200*)|<=0,05 (50 В)|100...250 (5 В; 2 мА)|<=6 (5В)|-|-|<=100
КТ3102ИМ|n-p-n|250|>=200|50|5|100 (200*)|<=0,05 (50 В)|200...500 (5 В; 2 мА)|<=б (5В)|-|-|<=100
КТ3102КМ|n-p-n|250|>=200|30|5|100 (200*)|<=0,015 (30 В)|200...500 (5 В; 2мА)|<=6 (5В)|-|-|<=100
КТ3104А|p-n-p|15 (35°C)|>=200|30|3,5|10|<=1 (30 В)|15...90 (1 В; 2 мА)|<=25 (5 В)|<=100|<=8 (6 МГц)|<=800
КТ3104Б|p-n-p|15 (35°C)|>=200|30|3,5|10|<=1 (30 В)|50...150 (1 В; 2 мА)|<=25 (5 В)|<=100|<=8 (6 МГц)|<=800
КТ3104В|p-n-p|15 (35°C)|>=200|30|3,5|10|<=1 (30 В)|70...280 (1 В; 2 мА)|<=25 (5 В)|<=100|<=8 (6 МГц)|<=800
КТ3104Г|p-n-p|15 (35°C)|>=200|15|3,5|10|<=1 (15 В)|15...90 (1 В; 2 мА)|<=25 (5 В)|<=100|<=8 (6 МГц)|<=800
КТ3104Д|p-n-p|15 (35°C)|>=200|15|3,5|10|<=1 (15 В)|50...150 (1 В; 2 мА)|<=25 (5 В)|<=100|<=8 (6 МГц)|<=800
КТ3104Е|p-n-p|15 (35°C)|>=200|15|3,5|10|<=1 (15 В)|70...280 (1 В; 2 мА)|<=25 (5 В)|<=100|<=8 (6 МГц)|<=800
КТ3106А-2|n-p-n|30 (50°C)|>=1000|15* (10к)|2,5|20 (40*)|<=0,5 (15 В)|>=40 (5 В; 5 мА)|<=2 (5 В)|-|<=2 (120 МГц)|-
КТ3106А-9|n-p-n|100|>=1000|15* (10к)|3|20 (40*)|<=0,5 (15 В)|>=40 (5 В; 5 мА)|<=2 (5 В)|-|<=2 (120 МГц)|<=10
КТ3107А|p-n-p|300|>=200|50|5|100 (200*)|<=0,1 (20 В)|70...140 (5 В; 2 мА)|<=7 (10 В)|<=20|<=10 (1 кГц)|-
КТ3107Б|p-n-p|300|>=200|50|5|100 (200*)|<=0,1 (20 В)|120...220 (5 В; 2 мА)|<=7 (10 В)|<=20|<=10 (1 кГц)|-
КТ3107В|p-n-p|300|>=200|30|5|100 (200*)|<=0,1 (20 В)|70...140 (5 В; 2 мА)|<=7 (10 В)|<=20|<=10 (1 кГц)|-
КТ3107Г|p-n-p|300|>=200|30|5|100 (200*)|<=0,1 (20 В)|120...220 (5 В; 2 мА)|<=7 (10 В)|<=20|<=10 (1 кГц)|-
КТ3107Д|p-n-p|300|>=200|30|5|100 (200*)|<=0,1 (20 В)|180...460 (5 В; 2 мА)|<=7 (10 В)|<=20|<=10 (1 кГц)|-
КТ3107Е|p-n-p|300|>=200|25|5|100 (200*)|<=0,1 (20 В)|120...220 (5 В; 2 мА)|<=7 (10 В)|<=20|<=4 (1 кГц)|-
КТ3107Ж|p-n-p|300|>=200|25|5|100 (200*)|<=0,1 (20 B)|180...460 (5 В; 2 мА)|<=7 (10 В)|<=20|<=4 (1 кГц)|-
КТ3107И|p-n-p|300|>=200|50|5|100 (200*)|<=0,1 (20 B)|180...460 (5 В; 2 мА)|<=7 (10 В)|<=20|<=10 (1 кГц)|-
КТ3107К|p-n-p|300|>=200|30|5|100 (200*)|<=0,1 (20 B)|380...800 (5 В; 2 мА)|<=7 (10 В)|<=20|<=10 (1 кГц)|-
КТ3107Л|p-n-p|300|>=200|25|5|100 (200*)|<=0,1 (20 B)|380...800 (5 В; 2 мА)|<=7 (10 В)|<=20|<=4 (1 кГц)|-
КТ3108А|p-n-p|300 (360*)|>=250|60* (10к)|5|200|<=0,2 (60 B)|50...150 (1 В; 10 мА)|<=5 (10 В)|<=25|<=6 (100 МГц)|<=250
